SIMRUN,TIMEINT,DATACOLLECTIONMEASUREMENT,ACCELERATION,DIST,LENGTH,VEHS,PERS,QUEUEDELAY,SPEEDAVGARITH,SPEEDAVGHARM,OCCUPRATE
1,103-1,1,-0.91545078215389641,288.13118313071049670,1.77470004558563232,2,2,0.00000000000000000,40.16461495836060891,40.06960992077401329,0.01074032502463223
1,103-1,2,,,,0,0,,,,0.00000000000000000
1,103-1,3,-0.76297312716821097,202.75155099343947995,5.18133117202332816,7,7,0.00000000000000000,40.03585829859566303,37.97654337588951279,0.10238318770758639
1,103-1,4,-1.51644667758562601,341.92162509971996087,7.50145606517791652,3,3,0.00000000000000000,42.15826975662881893,41.16916324171236141,0.05092043009497296
1,103-2,1,-0.32236447087842551,285.67381142434612684,5.12626740655898949,10,10,3.20000000000000018,26.38203751595476021,23.33092782274936638,0.65832497926543665
1,103-2,2,-1.50427317122003545,401.74480807043977393,7.17955729603767345,4,4,0.00000000000000000,43.92019170309933429,43.14081955147105418,0.08690173903924242
1,103-2,3,-1.11597786319293246,202.79816235881855846,4.32214985535931451,15,15,0.00000000000000000,32.37093575235375909,30.87178560146182349,0.23269106623256047
1,103-2,4,-1.26254625441707469,342.38003128599365255,5.72200255052243545,12,12,0.00000000000000000,31.83922715747167942,28.11774852412198200,0.25706186803331815
1,103-3,1,-1.64888790247298922,282.29250896919273828,2.68323616186777736,3,3,9.66666666666666607,5.43412753816636496,4.42043756152623946,1.00000000000000000
1,103-3,2,-0.59890525874665812,400.11974876735717999,4.50252593993051420,11,11,5.09090909090909083,33.44587274086066486,32.06818260586776859,0.19838932294483769
1,103-3,3,-1.13033686674503819,199.27953189695276137,4.41469445678148720,21,21,0.09523809523809523,26.69479407086729950,24.69475768172387120,0.47493026262283017
1,103-3,4,-1.66777313839354546,337.47881991839557259,4.09791307488068846,20,20,0.14999999999999999,26.71936854512624748,21.19094698055977943,0.56356727849136812
1,103-4,1,,,,0,0,,,,1.00000000000000000
1,103-4,2,-1.54820382092219777,395.85847745842232825,5.37132886925332187,8,8,5.25000000000000000,19.35308762511907332,13.97298484057332146,0.54436955480902094
1,103-4,3,-0.38197859669120932,199.92016307569107880,5.42197391789746241,15,15,1.93333333333333357,19.36166967801657535,11.39127773220745787,0.85948715669238618
1,103-4,4,-0.68028368244461823,336.50645603148683449,4.74604568718254249,15,15,0.53333333333333333,18.05341569675295332,14.72005996399496119,0.48086633341591256
1,103-5,1,0.78398285014727376,288.04009789654583074,4.47956451114992049,12,12,40.25000000000000000,29.65725316609244899,27.32165125369013126,0.49151780835211611
1,103-5,2,-2.09013065348075688,390.07480486727541802,1.99999991130768606,1,1,3.00000000000000000,14.35742205567400731,14.35742205567400731,1.00000000000000000
1,103-5,3,-1.17599370643072487,197.43621065353107724,7.06749995565384292,2,2,0.50000000000000000,8.94896992984107520,6.16161977201790378,1.00000000000000000
1,103-5,4,-0.82361612440339538,337.49565078700288723,4.43871748491410667,13,13,5.92307692307692335,20.91858348848377958,12.86440606449366264,0.44225740102440436
1,103-6,1,-0.94145504126774471,283.86140861174186512,3.93688773525822988,11,11,60.81818181818182012,22.02189181317238109,20.03125699905105606,0.59296778701733976
1,103-6,2,0.40102811810408928,395.14399836412462719,6.76283745288848781,9,9,39.33333333333333570,16.67187153528202259,7.46365436517583092,0.72595801827082573
1,103-6,3,,,,0,0,,,,1.00000000000000000
1,103-6,4,-0.32707349278905301,336.16978820537792672,4.19839550971958442,16,16,5.25000000000000000,19.68083101049791850,13.93132736813356232,1.00000000000000000
1,103-7,1,-2.32503872826643798,282.52205590640721766,3.16000177001922999,2,2,22.50000000000000000,17.03758715508017474,16.75643832221726370,1.00000000000000000
1,103-7,2,0.42922338239047519,391.76109848486191822,5.64109099230766287,10,10,25.19999999999999929,19.18326806450442490,15.93919747104718176,0.71363168333435012
1,103-7,3,0.22523273767559093,200.97303249281566195,2.49442430248240443,15,15,59.00000000000000000,28.06625371188994933,20.05170081273416471,0.85763588696983395
1,103-7,4,-0.32255506785839044,338.71197955676319680,5.89735350878034836,12,12,12.75000000000000000,14.68504279750685271,12.19314260279645445,0.78896512708788769
1,103-8,1,,,,0,0,,,,1.00000000000000000
1,103-8,2,,,,0,0,,,,1.00000000000000000
1,103-8,3,-0.24115850579596479,197.51718880207710072,5.07510526541558615,13,13,49.30769230769230660,18.78956262138609290,11.04318091799948753,0.98853741085604085
1,103-8,4,0.63426870907164845,338.67542577722895203,4.33702931771266353,10,10,44.20000000000000284,10.85423418298460341,6.42924334019497756,0.59150578542101284
1,103-9,1,0.03966869715000380,286.12018855937446915,4.99023120827019095,11,11,96.00000000000000000,21.70185109970098836,20.77054066537009192,0.61705374552542669
1,103-9,2,,,,0,0,,,,1.00000000000000000
1,103-9,3,-0.73880793481857765,195.49262353917401924,3.60162894749641449,4,4,23.50000000000000000,7.11202312231017775,6.26213737248022984,1.00000000000000000
1,103-9,4,0.61681792757754816,337.89393606328707165,5.17261313045009796,12,12,30.49999999999999645,14.14888034794883787,10.44070706690344963,0.90206353176133502
1,103-10,1,-0.59265178964996401,283.72525369893384095,3.85287076445400478,12,12,111.08333333333332860,19.13996029106510477,17.94089709242073027,0.57209584490845866
1,103-10,2,-0.14532057092716544,395.98266189077645549,5.49330690505276920,11,11,98.72727272727273373,24.60826141654338173,22.30149913602444300,0.49508912048327147
1,103-10,3,,,,0,0,,,,1.00000000000000000
1,103-10,4,0.72934811444857484,339.77597909890533856,3.87421065453671609,18,18,33.27777777777777857,29.90338354889356864,22.08532438964275713,0.78316044979598776
1,103-11,1,0.81351363580575176,285.07316931656123415,1.77470004558563232,2,2,69.00000000000000000,6.35882501356993846,4.86767309910370916,1.00000000000000000
1,103-11,2,0.30286189518027906,394.54405839217793073,4.79930664649865779,11,11,93.36363636363635976,18.45122454319986716,11.87654166157351199,0.36498712020555973
1,103-11,3,-0.31979804921822608,198.08274360276774928,3.08607993239549705,15,15,138.26666666666667993,15.94519228651709497,9.05288992528852887,0.74233815152028915
1,103-11,4,0.65451711613894703,338.92347931133065231,4.40135405349712894,13,13,36.07692307692308020,21.19356911315435354,8.22765237052862197,1.00000000000000000
1,103-12,1,,,,0,0,,,,1.00000000000000000
1,103-12,2,-0.24940387182088011,391.66660821500971679,12.13499999999999979,1,1,70.00000000000000000,4.24856402877432782,4.24856402877432782,0.93186655931351081
1,103-12,3,-0.26436579543992900,197.93634162400786636,3.94509521113558703,19,19,105.21052631578947967,14.82566007286001053,10.31949604654009711,0.76512579879370535
1,103-12,4,0.66844642902580542,335.99883219011172741,4.45741547180912168,14,14,71.21428571428572241,10.94070259410411872,9.39055625839185382,0.85592265515634269
1,103-13,1,0.36925279317997617,286.26289350381063059,5.14471206585260532,13,13,103.92307692307691980,29.32075977631041752,23.57840914808180344,0.54041256233867885
1,103-13,2,,,,0,0,,,,1.00000000000000000
1,103-13,3,-0.28338457127320549,197.57223729350474173,4.82994407745761301,7,7,67.57142857142856940,11.85476002213568236,10.41590912911419053,1.00000000000000000
1,103-13,4,0.44606832432475885,339.62446790459460999,3.76525708995351449,19,19,52.47368421052631504,19.87924358609752318,18.89035864102899254,1.00000000000000000
1,103-14,1,0.23440363595482813,282.64615867215997014,3.64458430417358636,9,9,125.88888888888888573,21.65174776925774225,13.44723428487434091,0.26737360409630168
1,103-14,2,0.74198102235361862,398.07565087471937204,4.13642762720584845,8,8,129.87500000000000000,30.06169288159917841,27.73803539618282699,0.48073290620250764
1,103-14,3,0.49971221118471831,192.90514856626077744,1.77470004558563232,1,1,68.00000000000000000,1.24204253338055159,1.24204253338055159,1.00000000000000000
1,103-14,4,0.00843365661967698,339.95413090226219310,4.19622447582382385,13,13,59.23076923076923350,19.16654098792161776,12.54515825993843592,0.97711985559610071
1,103-15,1,-0.77452170748335558,282.38692928266505078,6.55406164340948738,5,5,101.00000000000000000,8.74765390410287935,1.84928776385726512,0.82974816944370489
1,103-15,2,-0.22246814062972090,394.79205778119285242,5.34517547225935719,11,11,148.27272727272728048,25.80537703489003576,24.42759837836917214,0.65705942560755559
1,103-15,3,0.51455183015825756,195.70931750080345068,3.73580175515661406,18,18,161.05555555555554292,20.33687743035177675,14.23532235215428798,0.91209668228874718
1,103-15,4,-0.68096845275386664,338.69601912253131104,4.36378890436462274,15,15,48.26666666666666572,21.26797512391409128,11.77379861690622853,0.98477051712423536
1,103-16,1,,,,0,0,,,,1.00000000000000000
1,103-16,2,-1.93934909635900099,391.74691418961953104,1.99999991130768606,1,1,91.00000000000000000,24.16856955018373654,24.16856955018373654,1.00000000000000000
1,103-16,3,-1.00570769309935693,196.64663031765940104,5.05306948992839366,13,13,91.15384615384616041,24.19858457559048048,16.19713668980660515,1.00000000000000000
1,103-16,4,0.56715379315049641,334.59637290744893789,5.80449482250187820,7,7,30.42857142857142705,8.39174649176877629,6.07776320387198243,1.00000000000000000
1,103-17,1,-0.00182154376073390,286.62465944708350207,4.52626721101242868,16,16,216.18750000000000000,22.25406138998727457,19.86598907354738941,0.70052653403679799
1,103-17,2,,,,0,0,,,,1.00000000000000000
1,103-17,3,,,,0,0,,,,1.00000000000000000
1,103-17,4,-0.26994991913234179,337.94945235336911082,3.24069702177479702,16,16,63.25000000000000711,12.58621159703317716,8.93487786620263158,0.92582450542316030
1,103-18,1,0.28351137033556234,280.96794960573544131,4.19186812194747471,7,7,109.57142857142856940,12.80982962658388047,6.36311038242280258,0.66765133418771638
1,103-18,2,-0.14712564307282253,392.78135321589451223,8.37710347255070964,6,6,196.16666666666665719,16.09273833422642141,13.82671597603607161,0.63396664879691877
1,103-18,3,,,,0,0,,,,1.00000000000000000
1,103-18,4,0.68987115261888643,337.77946025303356237,5.10592186693026129,13,13,42.61538461538461320,18.96946275606365617,8.95359612743016697,1.00000000000000000
1,103-19,1,-2.58918969691396583,279.45160638188895064,3.34715340582489551,3,3,84.66666666666667140,15.85062519955628169,15.39600744823473555,1.00000000000000000
1,103-19,2,0.08272262741249786,394.84982129808207674,5.66300742324188278,12,12,236.08333333333334281,15.13960963587923203,10.91371147509768846,0.75210684582990173
1,103-19,3,0.29565342456042931,198.50207124001750003,3.93014286116178369,14,14,219.57142857142858361,28.48259950777180194,19.59119007233708132,1.00000000000000000
1,103-19,4,-0.69477286333647426,336.36616980330774140,4.51992155948592433,18,18,112.61111111111108585,14.42933445514474755,6.81035421936461738,0.93781988289999840
1,103-20,1,,,,0,0,,,,1.00000000000000000
1,103-20,2,,,,0,0,,,,1.00000000000000000
1,103-20,3,0.53792211979285687,196.50687087039520407,4.49870464986547702,12,12,148.58333333333334281,23.40939935954938278,13.30504016346196927,0.92480745714108248
1,103-20,4,0.77550113256925768,337.00430628361255003,4.11195316378255527,9,9,109.66666666666667140,10.00595373593754722,4.10278549517695712,0.88693961848002045
2,103-1,1,0.24493153067997261,286.94700031257031014,1.77470004558563232,1,1,0.00000000000000000,42.11803266939173795,42.11803266939173795,0.00507275468438368
2,103-1,2,,,,0,0,,,,0.00000000000000000
2,103-1,3,-0.10459648879134427,201.90651791132282256,5.18133117202332816,7,7,0.00000000000000000,38.60550225594632678,36.41921247138429152,0.09428372159073498
2,103-1,4,-1.51408523923806437,341.88497051671703275,7.50145606517791652,3,3,0.00000000000000000,42.14038505713215699,41.14489747008918386,0.05054355982248377
2,103-2,1,1.20124001722556595,284.57669791110726010,4.46759099988931219,10,10,2.29999999999999982,25.08412053720653034,21.25366241162406311,0.63084004787725412
2,103-2,2,-1.49885603308734039,401.74339690648980650,7.17955729603767345,4,4,0.00000000000000000,43.87419020432519545,43.09366477413342267,0.08696251835812774
2,103-2,3,-1.46745493250312520,202.06536055324522749,4.16293424224845943,16,16,0.00000000000000000,33.51089072303724237,32.08105657153397061,0.23427588095311619
2,103-2,4,-1.30348366998983534,342.33239442282905429,5.72200255052243545,12,12,0.00000000000000000,31.67740964758166911,27.95439523854109609,0.25743770403935107
2,103-3,1,-0.50646517743370989,284.54074778804204016,3.50132824108004570,4,4,12.75000000000000000,14.00034775631244166,11.75615291552238695,1.00000000000000000
2,103-3,2,-0.59896305972121933,400.11886865893944787,4.50252593993051420,11,11,5.09090909090909083,33.44633246523836334,32.06842906635455392,0.19838799396795939
2,103-3,3,-0.64496626258720202,199.10135552134369163,4.76003219480496487,20,20,0.14999999999999999,27.72492192943034794,23.04569344185019375,0.46323485489155303
2,103-3,4,-0.39536746366983405,337.79848335725262132,4.25681940757549349,18,18,0.50000000000000000,23.21092518679313343,16.16816523629332636,0.44284026383365571
2,103-4,1,,,,0,0,,,,1.00000000000000000
2,103-4,2,-1.74604374963534759,393.00880014741687773,5.60560528441829309,7,7,5.85714285714285676,16.30366378608860956,13.13180857076384100,0.56640946328893593
2,103-4,3,-0.65318514352129753,200.39757952328335477,4.85614897960409397,16,16,1.81250000000000000,25.23645891074967196,17.16630805184821895,0.79017802085631250
2,103-4,4,-0.06614409545968096,336.31194084154242319,4.90045274024729238,13,13,1.84615384615384626,16.38493163871065406,11.98593757221681422,0.74351394632035395
